127.0.0.1 - - [15/Oct/2018:11:07:19 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:05 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:05 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:06 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:06 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:07 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:07 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:08 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:08 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:09 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:09 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 167
