127.0.0.1 - - [22/Oct/2018:09:31:31 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:35 +0800] "GET /WebSample/sample/ex01/ListUser HTTP/1.1" 200 12653
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:35 +0800] "GET /WebSample/;jsessionid=79E413A6CAC938F9E3CB32268D73338Atheme/css/bootstrap.min.css HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:35 +0800] "GET /WebSample/;jsessionid=79E413A6CAC938F9E3CB32268D73338Atheme/jquery-ui/jquery-ui.theme.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:35 +0800] "GET /WebSample/;jsessionid=79E413A6CAC938F9E3CB32268D73338Atheme/jquery-ui/jquery-ui.structure.css HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:35 +0800] "GET /WebSample/;jsessionid=79E413A6CAC938F9E3CB32268D73338Atheme/jquery-ui/jquery.datetimepicker.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:35 +0800] "GET /WebSample/;jsessionid=79E413A6CAC938F9E3CB32268D73338Atheme/js/jquery.js HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:35 +0800] "GET /WebSample/;jsessionid=79E413A6CAC938F9E3CB32268D73338Atheme/js/bootstrap.min.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:35 +0800] "GET /WebSample/;jsessionid=79E413A6CAC938F9E3CB32268D73338Atheme/jquery-ui/jquery-ui.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:35 +0800] "GET /WebSample/;jsessionid=79E413A6CAC938F9E3CB32268D73338Atheme/jquery-ui/jquery.datetimepicker.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:38 +0800] "GET /WebSample/sample/ex01/ListUser HTTP/1.1" 200 12300
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:38 +0800] "GET /WebSample/theme/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:38 +0800] "GET /WebSample/theme/jquery-ui/jquery-ui.theme.css HTTP/1.1" 200 18671
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:38 +0800] "GET /WebSample/theme/jquery-ui/jquery-ui.structure.css HTTP/1.1" 200 18705
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:38 +0800] "GET /WebSample/theme/jquery-ui/jquery.datetimepicker.css HTTP/1.1" 200 16503
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:38 +0800] "GET /WebSample/theme/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:38 +0800] "GET /WebSample/theme/jquery-ui/jquery.datetimepicker.js HTTP/1.1" 200 117222
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:38 +0800] "GET /WebSample/theme/js/jquery.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [22/Oct/2018:09:31:38 +0800] "GET /WebSample/theme/jquery-ui/jquery-ui.js HTTP/1.1" 200 520714
190.85.128.174 - - [22/Oct/2018:12:58:28 +0800] "GET /setup/index.jsp HTTP/1.1" 404 981
